LSOA21CD,LSOA21NM,borough_name,london_ring,IMD_Decile,older_adults_pct,children_pct,family_walk_index,family_transit_index,working_walk_index,working_transit_index,older_walk_index,older_transit_index,children_walk_index,children_transit_index,children_pt15_index,caregiving_pt15_index,older_pt15_index
E01000001,City of London 001A,City of London,Inner London,9,25.1529571719918,8.29367777022434,61.3333333333333,80.6666666666667,62.3333333333333,81.1666666666667,63.5333333333333,81.7666666666667,61.3333333333333,80.6666666666667,61.3333333333333,62.3333333333333,63.5333333333333
E01000002,City of London 001B,City of London,Inner London,10,20,6.20938628158845,62,81,59.5333333333333,79.7666666666667,61.4,80.7,62,81,62,59.5333333333333,61.4
E01000003,City of London 001C,City of London,Inner London,5,17.6908752327747,6.64183736809435,75.4666666666667,87.7333333333333,72.4666666666667,86.2333333333334,76.3333333333334,88.1666666666667,75.4666666666667,87.7333333333333,75.4666666666667,72.4666666666667,76.3333333333334
E01000005,City of London 001E,City of London,Inner London,3,9.52813067150635,12.7949183303085,75.0666666666667,87.9333333333334,76.7333333333333,89.0666666666667,75.3333333333334,88.1666666666667,75.0666666666667,87.9333333333334,75.8666666666667,78.1333333333333,76.3333333333334
E01000006,Barking and Dagenham 016A,Barking and Dagenham,Outer London,5,8.56368563685637,22.4390243902439,35.2,63.4666666666667,24.8,51.1,21.4666666666667,55.0666666666667,35.2,63.4666666666667,35.2,24.8,21.4666666666667
E01000007,Barking and Dagenham 015A,Barking and Dagenham,Outer London,3,2.4776324845148,25.739848589126,61.6,76.9333333333334,51.1333333333333,65.1,59.4666666666667,74.4333333333333,61.6,76.9333333333334,61.6,51.1333333333333,59.4666666666667
E01000008,Barking and Dagenham 015B,Barking and Dagenham,Outer London,2,3.6231884057971,29.8773690078038,41.2,66.5333333333334,31.1333333333333,55.2333333333333,34.4666666666667,61.4,41.2,66.5333333333334,41.2,31.1333333333333,34.4666666666667
E01000009,Barking and Dagenham 016B,Barking and Dagenham,Outer London,3,8.92956184137549,22.0743205768164,42,67.5333333333334,41.4,60.8333333333333,49,69.7,42,67.5333333333334,42,41.4,49
E01000011,Barking and Dagenham 016C,Barking and Dagenham,Outer London,3,7.74647887323944,22.4178403755869,36.6666666666667,65.1333333333334,32.0666666666667,56.4333333333333,43.0666666666667,67.0333333333333,36.6666666666667,65.1333333333334,37.7333333333333,34.0666666666667,44.4
E01000012,Barking and Dagenham 015D,Barking and Dagenham,Outer London,2,3.91822827938671,32.793867120954,30.5333333333333,60.2,23.2666666666667,48.6333333333333,29.8,58.0666666666667,30.5333333333333,60.2,30.5333333333333,23.2666666666667,29.8
E01000013,Barking and Dagenham 013A,Barking and Dagenham,Outer London,2,9.08119658119658,25.267094017094,31.0666666666667,65.1333333333333,39.1333333333333,68.9666666666667,34.4666666666667,66.7333333333333,31.0666666666667,65.1333333333333,31.0666666666667,39.1333333333333,34.4666666666667
E01000014,Barking and Dagenham 013B,Barking and Dagenham,Outer London,2,9.2,24.5714285714286,16.6666666666667,39.7333333333333,14.4,39.3666666666667,7.73333333333333,31.0333333333333,16.6666666666667,39.7333333333333,16.6666666666667,14.4,7.73333333333333
E01000015,Barking and Dagenham 009A,Barking and Dagenham,Outer London,2,6.81536555142503,28.2527881040892,38.6666666666667,64.2,22.3333333333333,53.5666666666667,17.5333333333333,51.1333333333333,38.6666666666667,64.2,38.6666666666667,22.3333333333333,17.5333333333333
E01000016,Barking and Dagenham 009B,Barking and Dagenham,Outer London,3,8.85529157667387,24.4600431965443,26.5333333333333,59.9333333333333,25.8,62.6666666666667,17.8666666666667,57.3,26.5333333333333,59.9333333333333,30.1333333333333,31.2,24.2666666666667
E01000017,Barking and Dagenham 009C,Barking and Dagenham,Outer London,2,9.62877030162413,24.4199535962877,20.9333333333333,56,20.6666666666667,58,14.5333333333333,54.6666666666667,20.9333333333333,56,24,25.0666666666667,20.2666666666667
E01000018,Barking and Dagenham 009D,Barking and Dagenham,Outer London,2,8.23463056965595,23.7450648618161,33.3333333333333,62.4666666666667,22.4,55.0666666666667,16.4,51.7,33.3333333333333,62.4666666666667,33.3333333333333,22.4,16.4
E01000019,Barking and Dagenham 023A,Barking and Dagenham,Outer London,2,8.07715491259795,28.9933694996986,40.6666666666667,63.6,32.8666666666667,52.8333333333333,21.3333333333333,49.8333333333333,40.6666666666667,63.6,40.6666666666667,32.8666666666667,21.3333333333333
E01000020,Barking and Dagenham 023B,Barking and Dagenham,Outer London,2,10.2189781021898,26.6423357664234,24.9333333333333,56.6666666666667,24.9333333333333,52.6,15.6666666666667,48.4,24.9333333333333,56.6666666666667,24.9333333333333,24.9333333333333,15.6666666666667
E01000021,Barking and Dagenham 008A,Barking and Dagenham,Outer London,2,8.13679245283019,27.063679245283,45.2,66.6,37.8666666666667,57.9333333333333,30.2,55.7333333333333,45.2,66.6,45.2,37.8666666666667,30.2
E01000022,Barking and Dagenham 008B,Barking and Dagenham,Outer London,2,9.60108181203516,26.0311020960108,25.4666666666667,55.4,25.3333333333333,50.6666666666667,21.5333333333333,48.6,25.4666666666667,55.4,25.4666666666667,25.3333333333333,21.5333333333333
E01000024,Barking and Dagenham 008D,Barking and Dagenham,Outer London,3,8.35579514824798,24.5956873315364,33.4666666666667,62.9333333333333,30.2666666666667,58.3666666666667,21.7333333333333,55.1666666666667,33.4666666666667,62.9333333333333,34,31.2666666666667,22.4
E01000025,Barking and Dagenham 008E,Barking and Dagenham,Outer London,2,10.2497398543184,24.7138397502602,15.4666666666667,52.4,14.6,46.5666666666667,10.6666666666667,46.4333333333333,15.4666666666667,52.4,15.4666666666667,14.6,10.6666666666667
E01000027,Barking and Dagenham 001A,Barking and Dagenham,Outer London,2,8.83765609990394,28.9145052833814,10,37.0666666666667,18,37,14,32.5333333333333,10,37.0666666666667,10,18,14
E01000028,Barking and Dagenham 001B,Barking and Dagenham,Outer London,2,10.842047330765,25.7567418822234,6.66666666666667,24,9.4,22,6.73333333333333,13.3333333333333,6.66666666666667,24,6.66666666666667,9.4,6.73333333333333
E01000029,Barking and Dagenham 001C,Barking and Dagenham,Outer London,4,20.3296703296703,20.8791208791209,15.3333333333333,45.9333333333333,19.8,42.5666666666667,13.6666666666667,38.7666666666667,15.3333333333333,45.9333333333333,15.3333333333333,19.8,13.6666666666667
E01000030,Barking and Dagenham 001D,Barking and Dagenham,Outer London,2,6.75253708040593,33.1381733021077,26.6666666666667,49,24.6,42.9333333333333,13.9333333333333,36.9333333333333,26.6666666666667,49,26.6666666666667,24.6,13.9333333333333
E01000031,Barking and Dagenham 002A,Barking and Dagenham,Outer London,4,14.3099547511312,20.9841628959276,10.6666666666667,30.6,11.4,27.7,7.13333333333333,21.5333333333333,10.6666666666667,30.6,10.6666666666667,11.4,7.13333333333333
E01000032,Barking and Dagenham 002B,Barking and Dagenham,Outer London,3,12.3136123136123,23.7614237614238,28.8,61.0666666666667,23.5333333333333,51.7666666666667,32,61.3333333333333,28.8,61.0666666666667,28.8,23.5333333333333,32
E01000033,Barking and Dagenham 006A,Barking and Dagenham,Outer London,2,10.6148867313916,27.5080906148867,9.33333333333333,43.6666666666667,13.0666666666667,42.6666666666667,11.4666666666667,38.2333333333333,9.33333333333333,43.6666666666667,9.33333333333333,13.0666666666667,11.4666666666667
E01000034,Barking and Dagenham 003A,Barking and Dagenham,Outer London,2,16.8996188055909,19.5679796696315,12.6666666666667,44.6666666666667,13.4666666666667,38.4333333333333,13.7333333333333,36.2333333333333,12.6666666666667,44.6666666666667,14.6666666666667,14.4666666666667,13.9333333333333
E01000035,Barking and Dagenham 010A,Barking and Dagenham,Outer London,4,13.340505648198,21.624529316837,9.86666666666667,48.4666666666667,17.0666666666667,51.5333333333333,13.0666666666667,48.3,9.86666666666667,48.4666666666667,9.86666666666667,17.0666666666667,13.0666666666667
E01000036,Barking and Dagenham 010B,Barking and Dagenham,Outer London,5,11.2542372881356,21.0169491525424,8,36.8,15.3333333333333,45.8666666666667,14,45.9333333333333,8,36.8,8,15.3333333333333,14
E01000037,Barking and Dagenham 003B,Barking and Dagenham,Outer London,5,14.4876325088339,17.2555948174323,14.6666666666667,44.0666666666667,13.4,36.6666666666667,7.53333333333333,31.3333333333333,14.6666666666667,44.0666666666667,14.6666666666667,13.4,7.53333333333333
E01000038,Barking and Dagenham 003C,Barking and Dagenham,Outer London,5,15.470297029703,20.3589108910891,20.6666666666667,53.3333333333333,19,47.7333333333333,10.7333333333333,44.1666666666667,20.6666666666667,53.3333333333333,20.6666666666667,19,10.7333333333333
E01000039,Barking and Dagenham 003D,Barking and Dagenham,Outer London,4,13.6337706788363,22.6468910439247,19.3333333333333,42.8666666666667,14.2666666666667,36.3333333333333,18.2666666666667,39.6,19.3333333333333,42.8666666666667,19.3333333333333,14.2666666666667,18.2666666666667
E01000040,Barking and Dagenham 019A,Barking and Dagenham,Outer London,2,9.47816826411076,25.0798722044728,53.0666666666667,73.6,41.8666666666667,62.3333333333333,47.0666666666667,69.4666666666667,53.0666666666667,73.6,53.0666666666667,41.8666666666667,47.0666666666667
E01000041,Barking and Dagenham 017A,Barking and Dagenham,Outer London,3,9.28338762214984,25.2442996742671,39.0666666666667,65.6666666666667,35.4,62.2666666666667,37.1333333333333,64.0666666666667,39.0666666666667,65.6666666666667,39.3333333333333,36.4666666666667,37.5333333333333
E01000042,Barking and Dagenham 017B,Barking and Dagenham,Outer London,2,6.37619553666313,29.596174282678,27.6,56.3333333333333,25.5333333333333,51.8333333333333,22.9333333333333,53.6,27.6,56.3333333333333,27.6,25.5333333333333,22.9333333333333
E01000043,Barking and Dagenham 019B,Barking and Dagenham,Outer London,3,10.8512020792723,20.7927225471085,32.4,63.5333333333333,28.6666666666667,56,27.7333333333333,60.1,32.4,63.5333333333333,32.4,28.6666666666667,27.7333333333333
E01000044,Barking and Dagenham 016D,Barking and Dagenham,Outer London,3,5.93561368209256,24.2454728370221,66.9333333333333,80.1333333333333,48.4,64.8666666666667,57.5333333333333,74.1666666666667,66.9333333333333,80.1333333333333,66.9333333333333,48.4,57.5333333333333
E01000045,Barking and Dagenham 017C,Barking and Dagenham,Outer London,2,8.9959373186303,25.5948926291352,42,69.9333333333333,38.6,67.7,41.6666666666667,69.5,42,69.9333333333333,42,38.6,41.6666666666667
E01000046,Barking and Dagenham 017D,Barking and Dagenham,Outer London,3,8.3758937691522,25.8426966292135,26,57.9333333333334,23.1333333333333,53.1,20.2,53.8,26,57.9333333333334,26.2666666666667,24.2,20.6
E01000049,Barking and Dagenham 021C,Barking and Dagenham,Outer London,2,4.15821501014199,31.2880324543611,54,73.4,45.6666666666667,63.1,48.2,69.1666666666667,54,73.4,54,45.6666666666667,48.2
E01000050,Barking and Dagenham 019C,Barking and Dagenham,Outer London,2,8.63192182410423,25.7871878393051,59.8666666666667,76.8666666666667,55,68.5666666666667,70.9333333333333,81.2,59.8666666666667,76.8666666666667,59.8666666666667,55,70.9333333333333
E01000051,Barking and Dagenham 021D,Barking and Dagenham,Outer London,2,2.3486901535682,28.9972899728997,67.8666666666667,80.7333333333333,57.6,69.6666666666667,70.2666666666667,80.7,67.8666666666667,80.7333333333333,67.8666666666667,57.6,70.2666666666667
E01000052,Barking and Dagenham 019D,Barking and Dagenham,Outer London,2,8.27353313634445,28.0709159983115,40.8,66.8,42.0666666666667,61.3,49,69.5666666666667,40.8,66.8,40.8,42.0666666666667,49
E01000053,Barking and Dagenham 020A,Barking and Dagenham,Outer London,2,12.1529919802591,25.1696483652067,38,65.5333333333333,26.8666666666667,54.5666666666667,27.6666666666667,59.1333333333333,38,65.5333333333333,38,26.8666666666667,27.6666666666667
E01000054,Barking and Dagenham 018A,Barking and Dagenham,Outer London,3,10.8498129342598,26.8305718866916,53.2,72.6666666666667,39.2666666666667,63.3333333333333,41.5333333333333,64.9,53.2,72.6666666666667,53.2,39.2666666666667,41.5333333333333
E01000055,Barking and Dagenham 018B,Barking and Dagenham,Outer London,3,9.8533724340176,24.692082111437,26.5333333333333,54.7333333333333,21.2,47.6,17.0666666666667,44.7,26.5333333333333,54.7333333333333,26.5333333333333,21.2,17.0666666666667
E01000056,Barking and Dagenham 018C,Barking and Dagenham,Outer London,2,10.9347442680776,25.5144032921811,51.2,70,33.6,53.9333333333333,36.6666666666667,60.9666666666667,51.2,70,51.2,33.6,36.6666666666667
E01000057,Barking and Dagenham 012A,Barking and Dagenham,Outer London,3,10.135571336346,25.9522272433828,39.6,66.6,37.7333333333333,63.6666666666667,33.2,61.9666666666667,39.6,66.6,39.6,37.7333333333333,33.2
E01000058,Barking and Dagenham 018D,Barking and Dagenham,Outer London,3,7.20636406176883,25.4562470753393,36,66.2666666666667,33.4,63.7,33.9333333333333,64.8,36,66.2666666666667,36,33.4,33.9333333333333
E01000059,Barking and Dagenham 013C,Barking and Dagenham,Outer London,3,13.2826214160328,24.1661790520772,50.9333333333334,73.2,31.6666666666667,62.0333333333333,34.0666666666667,64.2,50.9333333333334,73.2,50.9333333333334,31.6666666666667,34.0666666666667
E01000060,Barking and Dagenham 006B,Barking and Dagenham,Outer London,2,9.44954128440367,28.8532110091743,38,65.2,34.8666666666667,60.5,37.3333333333333,63.0333333333333,38,65.2,38,34.8666666666667,37.3333333333333
E01000061,Barking and Dagenham 006C,Barking and Dagenham,Outer London,1,5.81818181818182,28.2077922077922,52.8,76.1333333333333,45.0666666666667,71.3333333333334,46.4666666666667,72.8,52.8,76.1333333333333,53.8666666666667,47.0666666666667,47.8
E01000062,Barking and Dagenham 006D,Barking and Dagenham,Outer London,3,11.2663361874718,24.2000901306895,22,55.5333333333334,20.2,51.9,21,52.1666666666667,22,55.5333333333334,22,20.2,21
E01000063,Barking and Dagenham 004A,Barking and Dagenham,Outer London,2,9.50506186726659,25.0843644544432,41.7333333333333,69.6,40.5333333333333,67.2666666666667,32.3333333333333,64.8,41.7333333333333,69.6,42.4,41.3333333333333,33.8
E01000064,Barking and Dagenham 006E,Barking and Dagenham,Outer London,2,10.7919930374238,24.4560487380331,8.66666666666667,47.6,15.6,49.0666666666667,12.1333333333333,45.2666666666667,8.66666666666667,47.6,10,16.1333333333333,13.2
E01000065,Barking and Dagenham 007A,Barking and Dagenham,Outer London,2,13.3703329969728,22.452068617558,37.4666666666667,60.4,28.1333333333333,55.1,23.6,53.2333333333333,37.4666666666667,60.4,37.4666666666667,28.1333333333333,23.6
E01000066,Barking and Dagenham 011A,Barking and Dagenham,Outer London,4,10.4041616646659,23.2092837134854,23.3333333333333,52.1333333333333,17.8,43.1666666666667,14.8666666666667,42.5333333333333,23.3333333333333,52.1333333333333,23.3333333333333,17.8,14.8666666666667
E01000067,Barking and Dagenham 011B,Barking and Dagenham,Outer London,5,10.5098389982111,25.0894454382827,33.3333333333333,60.4,26.7333333333333,51.2666666666667,27.8,54.2666666666667,33.3333333333333,60.4,33.8666666666667,27.7333333333333,28.4666666666667
E01000068,Barking and Dagenham 016E,Barking and Dagenham,Outer London,4,10.7023411371237,17.6142697881828,40.5333333333333,68.4,32.5333333333333,58.4666666666667,28.1333333333333,61.8666666666667,40.5333333333333,68.4,42.9333333333333,36.1333333333333,32.4
E01000069,Barking and Dagenham 011C,Barking and Dagenham,Outer London,6,9.39885496183206,21.2309160305344,33.2,61.1333333333333,26.7333333333333,49.4333333333333,24.6666666666667,55.0666666666667,33.2,61.1333333333333,33.2,26.7333333333333,24.6666666666667
